accuracy	brier_score	cross_entropy	trim_cross_entropy	roc_auc	alpha_true	corrupt_frac	model
0.9810053180930092	0.01612973126385517	0.07722262566561026	0.041964456	0.9977883454150983	0.060665495617667674	0.05	DGA-PN-model-0.05
0.9813222443954543	0.015356622892484056	0.07381441362313115	0.038395483	0.9977425413952944	0.060667632931582526	0.05	DGA-PN-model-0.05
0.9805177391661704	0.016192423071863866	0.0765328174557253	0.04089198	0.9977134214815665	0.060667632931582526	0.05	DGA-PN-model-0.05
0.9810992853461126	0.015777347363559326	0.07608524295216108	0.04020199	0.9980095149753734	0.060665495617667674	0.05	DGA-PN-model-0.05
0.9828023348146497	0.014710046065601981	0.07196089993462744	0.03545586	0.9976941142424243	0.060665495617667674	0.05	DGA-PN-model-0.05
0.9783584610615986	0.02276162645213758	0.11439938638439896	0.07815339	0.9974637558204769	0.1082328640936261	0.1	DGA-PN-model-0.10
0.9798629903215583	0.020554398099382084	0.10630776708537087	0.07183831	0.9974254992399986	0.1082346734840876	0.1	DGA-PN-model-0.10
0.9773798205013008	0.022875856188026112	0.11338971617191831	0.07621368	0.9973913944990455	0.1082346734840876	0.1	DGA-PN-model-0.10
0.979128066533859	0.021437782434605805	0.10946396905359435	0.073086694	0.9977701566053979	0.1082328640936261	0.1	DGA-PN-model-0.10
0.9792882715963389	0.021254802189006335	0.10811673370682735	0.07315492	0.9973966335723294	0.1082328640936261	0.1	DGA-PN-model-0.10
0.9767773122559928	0.030375654851970132	0.14611521581929615	0.111265965	0.997137924253938	0.14668467241972435	0.15000000000000002	DGA-PN-model-0.15
0.9772091678769073	0.02979706175893376	0.1445516952536448	0.10965784	0.9970575982315419	0.14668623385843918	0.15000000000000002	DGA-PN-model-0.15
0.9760633573988361	0.02997662569410582	0.14384264722291673	0.10846472	0.9970880019314978	0.14668623385843918	0.15000000000000002	DGA-PN-model-0.15
0.9787832773776521	0.02738285777351036	0.1361245774847432	0.102904744	0.9972024777905788	0.14668467241972435	0.15000000000000002	DGA-PN-model-0.15
0.9772996391903376	0.02893788377297859	0.14099509352184125	0.10674358	0.9970273577274008	0.14668467241972435	0.15000000000000002	DGA-PN-model-0.15
0.9743568311549003	0.04105796463845596	0.1818611774237271	0.14693102	0.9967463499682935	0.17854479102847554	0.2	DGA-PN-model-0.20
0.975056855185576	0.040589228155206956	0.18064186249893432	0.145977	0.996767557105484	0.17854615862297452	0.2	DGA-PN-model-0.20
0.9714174267673865	0.04337196815216342	0.18756569828924682	0.150401	0.9967032062255882	0.17854615862297452	0.2	DGA-PN-model-0.20
0.9763871668779516	0.037722791992189454	0.17182128741622885	0.13873003	0.9972887730547471	0.17854479102847554	0.2	DGA-PN-model-0.20
0.9734756140033155	0.04092855950808015	0.1806713987736382	0.14560243	0.9966753977075236	0.17854479102847554	0.2	DGA-PN-model-0.20
0.9692407351297134	0.05254625166055901	0.21481542583308397	0.18197282	0.9956905709132394	0.20492695152515436	0.25	DGA-PN-model-0.25
0.973674220657326	0.05335205335674062	0.21612583060595636	0.18552503	0.9960457554424802	0.2049281665624938	0.25	DGA-PN-model-0.25
0.9647132165233533	0.05865343414800121	0.23024266794659656	0.1964556	0.9954950934656637	0.2049281665624938	0.25	DGA-PN-model-0.25
0.9740328490032459	0.04868363798106427	0.203622365757963	0.17196767	0.9968604514650747	0.20492695152515436	0.25	DGA-PN-model-0.25
0.9701983756599752	0.053281963024978	0.2168157591427797	0.18565512	0.9955361107773242	0.20492695152515436	0.25	DGA-PN-model-0.25
0.9653575172481046	0.0681758787157912	0.2550473497353287	0.22396982	0.9951239316303975	0.22714914350798554	0.3	DGA-PN-model-0.30
0.9693208373819798	0.06817085467760096	0.25361296513074805	0.2220805	0.9956656045506139	0.22715023563742218	0.3	DGA-PN-model-0.30
0.9574413251002148	0.07480172002628684	0.2708412303718619	0.23508348	0.9951400072702784	0.22715023563742218	0.3	DGA-PN-model-0.30
0.9629125280358859	0.07337982601015068	0.26739827601227384	0.23295842	0.9955922833370888	0.22714914350798554	0.3	DGA-PN-model-0.30
0.9650892272543639	0.07025692923649263	0.25976113459784056	0.22845373	0.9951130491555128	0.22714914350798554	0.3	DGA-PN-model-0.30
0.9577269070430776	0.08981410406998981	0.3052546015057315	0.27448413	0.9946455595725063	0.24633728507167782	0.35000000000000003	DGA-PN-model-0.35
0.9554352860869353	0.09017746547287486	0.3065647756457883	0.2730472	0.9947043555239083	0.24633827518934293	0.35000000000000003	DGA-PN-model-0.35
0.9452901617020684	0.09388598452197797	0.3151389556884971	0.2778336	0.9945933200127121	0.24633827518934293	0.35000000000000003	DGA-PN-model-0.35
0.9579287575052589	0.09097943096250069	0.30787615835513227	0.27588952	0.9951739621506392	0.24633728507167782	0.35000000000000003	DGA-PN-model-0.35
0.9575177966928102	0.08991955180078827	0.3056341579817126	0.2745016	0.994553913553825	0.24633728507167782	0.35000000000000003	DGA-PN-model-0.35
0.9362455726092089	0.11485671323112007	0.3607195611339059	0.32630378	0.994060271619342	0.26278849201571547	0.4	DGA-PN-model-0.40
0.9395088687124086	0.11262471676329588	0.35547670306621165	0.32244688	0.9939927380771143	0.26278939770877485	0.4	DGA-PN-model-0.40
0.9145030351788196	0.12048335816068899	0.3737403882017814	0.33527678	0.9938326564609274	0.26278939770877485	0.4	DGA-PN-model-0.40
0.9347791259769026	0.11534381343825631	0.3609540861309683	0.32681894	0.9949587493224047	0.26278849201571547	0.4	DGA-PN-model-0.40
